Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn
1,0,1,0,1,0,2,1,0,1,0,0,0,0,0,1,0,29.85,0
0,0,0,0,34,1,0,1,1,0,1,0,0,0,1,0,1,1889.5,0
0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,1,108.15,1
0,0,0,0,45,0,2,1,1,0,1,1,0,0,1,0,2,1840.75,0
1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,151.65,1
1,0,0,0,8,1,1,2,0,0,1,0,1,1,0,1,0,820.5,1
0,0,0,1,22,1,1,2,0,1,0,0,1,0,0,1,3,1949.4,0
1,0,0,0,10,0,2,1,1,0,0,0,0,0,0,0,1,301.9,0
1,0,1,0,28,1,1,2,0,0,1,1,1,1,0,1,0,3046.05,1
0,0,0,1,62,1,0,1,1,1,0,0,0,0,1,0,2,3487.95,0
0,0,1,1,13,1,0,1,1,0,0,0,0,0,0,1,1,587.45,0
0,0,0,0,16,1,0,0,0,0,0,0,0,0,2,0,3,326.8,0
0,0,1,0,58,1,1,2,0,0,1,0,1,1,1,0,3,5681.1,0
0,0,0,0,49,1,1,2,0,1,1,0,1,1,0,1,2,5036.3,1
0,0,0,0,25,1,0,2,1,0,1,1,1,1,0,1,0,2686.05,0
1,0,1,1,69,1,1,2,1,1,1,1,1,1,2,0,3,7895.15,0
1,0,0,0,52,1,0,0,0,0,0,0,0,0,1,0,1,1022.95,0
0,0,0,1,71,1,1,2,1,0,1,0,1,1,2,0,2,7382.25,0
1,0,1,1,10,1,0,1,0,0,1,1,0,0,0,0,3,528.35,1
1,0,0,0,21,1,0,2,0,1,1,0,0,1,0,1,0,1862.9,0
0,1,0,0,1,0,2,1,0,0,1,0,0,1,0,1,0,39.65,1
0,0,1,0,12,1,0,0,0,0,0,0,0,0,1,0,2,202.25,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20.15,1
1,0,1,0,58,1,1,1,0,1,0,1,0,0,2,1,3,3505.1,0
0,0,1,1,49,1,0,1,1,1,0,1,0,0,0,0,3,2970.3,0
1,0,0,0,30,1,0,1,1,1,0,0,0,0,0,1,2,1530.6,0
0,0,1,1,47,1,1,2,0,1,0,0,1,1,0,1,0,4749.15,1
0,0,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,30.2,1
0,0,1,0,72,1,1,1,1,1,1,1,1,1,2,1,3,6369.45,0
1,0,0,1,17,1,0,1,0,0,0,0,1,1,0,1,1,1093.1,1
1,1,1,0,71,1,1,2,1,1,1,1,0,0,2,1,3,6766.95,0
0,1,1,0,2,1,0,2,0,0,1,0,1,1,0,1,3,181.65,0
1,0,1,1,27,1,0,1,1,1,1,1,0,0,1,0,1,1874.45,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,20.2,0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,45.25,0
1,0,1,1,72,1,1,2,1,1,0,1,1,0,2,0,2,7251.7,0
0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,1,0,316.9,1
1,0,0,0,46,1,0,2,0,0,1,0,0,0,0,1,3,3548.3,0
0,0,0,0,34,1,1,2,0,1,1,0,1,1,0,1,0,3549.25,1
1,0,0,0,11,1,1,2,0,0,1,0,1,1,0,1,2,1105.4,1
0,0,1,1,10,1,0,1,0,1,0,0,0,0,1,0,1,475.7,0
1,0,1,1,70,1,1,1,1,1,0,0,1,0,2,1,3,4872.35,0
1,0,1,1,17,1,0,0,0,0,0,0,0,0,1,0,1,418.25,0
1,0,0,0,63,1,1,1,1,1,1,1,1,0,2,1,3,4861.45,0
1,0,1,0,13,1,1,1,1,1,0,1,1,0,0,1,0,981.45,0
1,0,0,0,49,1,1,2,0,0,0,0,0,1,0,1,0,3906.7,0
0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,97.0,0
1,0,0,0,2,1,0,2,0,0,0,0,1,0,0,1,0,144.15,1
0,0,0,0,52,1,1,1,1,0,0,1,1,1,2,1,3,4217.8,0
1,0,1,1,69,1,1,1,1,0,1,1,0,0,2,1,3,4254.1,0
1,1,0,0,43,1,1,2,0,1,0,0,1,0,0,1,0,3838.75,0
1,0,0,0,15,1,0,2,1,1,0,0,1,1,0,1,3,1426.4,1
1,1,1,0,25,1,1,1,1,0,0,1,1,0,0,1,3,1752.65,0
1,1,1,0,8,1,1,2,0,1,0,0,0,0,0,1,3,633.3,1
1,1,1,1,60,1,0,1,1,1,1,1,0,1,1,1,3,4456.35,0
0,1,0,0,18,1,1,2,0,0,0,0,1,1,0,1,0,1752.55,1
1,0,1,1,63,1,1,2,1,0,0,0,1,1,1,1,3,6311.2,0
0,1,1,1,66,1,1,2,0,1,1,1,1,1,1,1,0,7076.35,0
1,0,1,1,34,1,1,0,0,0,0,0,0,0,2,0,3,894.3,0
1,0,0,0,72,1,1,2,0,0,1,1,1,1,2,1,3,7853.7,0
1,0,1,0,47,1,1,2,0,0,1,0,1,1,0,1,0,4707.1,0
0,0,0,0,60,1,1,2,0,1,0,0,1,0,0,1,2,5450.7,0
0,0,1,0,72,0,2,1,1,1,1,0,0,0,2,0,2,2962.0,0
1,0,1,1,18,1,0,1,0,0,1,1,0,0,1,1,3,957.1,0
1,0,0,0,9,1,1,2,0,0,0,0,1,1,0,0,0,857.25,1
1,0,0,0,3,1,0,1,0,1,0,1,1,1,0,1,0,244.1,0
0,0,1,0,47,1,1,2,0,1,0,0,0,0,1,1,0,3650.35,0
1,0,0,0,31,1,0,1,0,1,1,1,1,1,2,0,1,2497.2,0
1,0,1,1,50,1,0,0,0,0,0,0,0,0,2,0,2,930.9,0
0,0,0,0,10,1,0,2,1,0,1,0,0,0,0,1,1,887.35,0
0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,49.05,0
1,0,1,1,52,1,0,0,0,0,0,0,0,0,1,1,0,1090.65,0
0,1,1,1,64,1,1,2,1,0,1,1,1,1,2,1,2,7099.0,0
0,0,1,1,62,1,1,0,0,0,0,0,0,0,2,1,2,1424.6,0
1,0,0,1,3,1,0,1,1,0,0,1,0,1,0,1,2,177.4,0
1,1,0,0,56,1,1,2,1,1,1,0,1,1,1,0,0,6139.5,0
1,0,0,0,46,1,0,1,0,0,0,0,0,1,1,0,3,2688.85,0
1,0,1,1,8,1,0,1,1,1,0,0,0,0,0,0,1,482.25,0
0,1,0,0,30,1,0,1,1,1,0,0,1,1,0,1,0,2111.3,0
1,0,1,1,45,1,1,0,0,0,0,0,0,0,1,1,3,1216.6,0
1,0,0,1,1,1,0,2,0,0,0,0,1,0,0,1,0,79.35,1
1,0,1,1,11,0,2,1,1,0,0,0,1,1,0,0,0,565.35,0
1,0,1,0,7,1,0,2,0,0,1,0,0,0,0,1,2,496.9,1
1,0,0,0,42,1,0,2,0,1,1,1,1,1,0,1,2,4327.5,0
1,0,1,0,49,1,0,0,0,0,0,0,0,0,2,1,2,973.35,0
0,0,0,0,9,1,1,2,0,1,0,0,1,1,0,1,3,918.75,0
1,0,1,0,35,1,0,1,1,0,0,0,1,0,1,1,2,2215.45,0
1,0,1,1,48,1,0,0,0,0,0,0,0,0,2,0,2,1057.0,0
1,0,1,1,46,1,0,0,0,0,0,0,0,0,2,1,1,927.1,0
0,0,1,0,29,0,2,1,0,0,0,0,1,0,0,0,1,1009.25,0
0,0,1,1,30,1,0,2,0,1,1,0,0,0,0,0,2,2570.2,0
0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,74.7,0
0,0,1,1,66,1,1,1,1,0,1,1,1,1,2,1,1,5714.25,0
1,0,0,0,65,1,1,2,1,1,1,0,1,1,0,1,3,7107.0,0
0,0,0,0,72,1,1,2,0,1,1,0,1,1,2,1,2,7459.05,0
